Fecha_Hora,Temperatura_C,Humedad_%
2026-06-22 22:23:11,10.1,91
2026-06-22 22:23:21,10.1,91
2026-06-25 21:04:33,10.97,76
2026-06-25 21:06:07,10.97,76
2026-06-25 21:07:10,10.97,76
2026-06-25 21:10:13,10.97,76
2026-06-25 21:15:04,10.97,76
2026-06-25 21:21:13,10.97,76
2026-06-25 21:39:13,10.25,77
2026-06-25 21:42:44,10.25,77
2026-06-25 21:55:02,10.25,77
2026-06-25 22:01:22,10.42,76
